contract_id,customer_id,insurance_type,insurance_company,price,billing_cycle
f5812bba-4e1a-44f9-9c2d-344310e1e514,64,Health,AOK,50.24,yearly
db1682c9-42aa-4322-8be6-6330e1ca84c0,67,Car,Debeka,23.27,monthly
b20c7418-3efd-4365-b0dc-285b3cc5fcc1,68,Home,HUK,161.07,monthly
269c4fbe-eebb-44c8-b00e-11d586abd115,70,Health,TK,171.67,quarterly
df668c0e-bb5b-48f1-8ebc-7d4900b7201d,70,Health,AXA,10.13,monthly
f68e8b27-c08b-4f31-ae36-f4b6d085e336,71,Health,Zurich,69.63,yearly
958e11bd-66e7-4aab-8463-036bd82c1158,72,Health,AXA,96.41,monthly
7adec4a8-84a0-4f2f-aaa8-9ab9b6a9add6,73,Health,HUK,182.95,quarterly
a910c5ca-6eac-4b51-a23c-1f727ea68361,73,Car,Allianz,68.93,yearly
c5bf364b-cb6f-47c5-aefd-2da6bbd0b2f6,74,Liability,TK,160.54,monthly
963a1a6d-9079-4dea-9d31-c8f2162a16d4,78,Life,Zurich,191.44,monthly
271b2a60-82f5-45a6-802a-d8d8f4f0c593,79,Life,AOK,79.69,yearly
c73d472e-ce64-4b6e-9591-95135d1b25db,79,Health,TK,152.27,quarterly
db4f23ce-e376-4e19-ad0a-1ec59776f088,81,Car,AOK,32.67,monthly
b02dd7c6-f062-414e-9280-e12632dc2ac7,82,Health,Allianz,126.68,monthly
d7727021-d207-46e4-a2f1-65fc5570c642,82,Life,HUK,65.91,quarterly
24d1c4fe-0a9c-4239-a486-ed27ccc9ace9,83,Life,Zurich,93.11,quarterly
c3dee51a-a333-436d-a742-96a754bea796,84,Life,HUK,55.83,quarterly
47f2eea4-04a8-410d-b347-f0201efa5e4b,84,Liability,AOK,48.32,yearly
df16efb8-eea6-4db6-b8ef-7c6d743098d7,85,Car,AXA,54.84,monthly
ea3db87a-7759-408d-8dbc-6593f8f2b946,85,Health,Zurich,147.26,monthly
22ab5a19-1786-4691-bb96-50fa0a113af5,87,Home,Allianz,138.84,quarterly
2a34d9df-ab82-4b21-b496-c7a3198f8b5d,87,Home,Allianz,112.57,quarterly
2846a3a6-6c59-420d-b4b8-929019f96714,88,Car,TK,158.39,quarterly
9165e153-fba9-48a2-8dcf-639d71909f38,89,Life,HUK,119.21,quarterly
334c5970-d45b-4243-ac1b-8260ce86e6cf,89,Liability,Zurich,41.58,quarterly
873c5ca0-c4c3-4c1d-b5c0-ae13aec753d1,90,Home,Allianz,71.99,quarterly
946e3810-2f52-41a3-ade5-a7d41394b488,90,Car,TK,12.1,yearly
143a214f-2648-4e7c-a608-f7109c8838f7,92,Car,Debeka,190.2,yearly
12044b9f-4cda-489e-81ab-5cf7de8b201b,92,Liability,Allianz,189.05,monthly
af97ea81-70ef-409a-a371-c715daabd89c,93,Life,Allianz,98.79,monthly
9c412e5f-2a5b-4311-8cbb-216d2a703e27,93,Car,Zurich,179.36,monthly
5de92a87-f854-4a32-956b-63dfa71356c8,94,Liability,AXA,116.22,monthly
f77d5d42-aa90-4dd8-b495-58164d009707,95,Car,Allianz,58.8,yearly
b96b3d43-456d-4c01-a6f9-7f346ebf1f4b,95,Car,Zurich,14.1,yearly
debec907-e20f-4647-a255-6a3951b04b5a,96,Home,AOK,27.54,monthly
94eac393-df45-41d2-ae26-b0a9e9ebc042,97,Health,AOK,116.66,monthly
db9683a0-0ba0-4331-aa89-c0d9e5c16c51,97,Home,Zurich,198.21,monthly
58372de4-fe98-4305-96bc-762cbe3bba35,98,Car,AOK,77.08,yearly
578ce1fa-12c4-4f46-afb2-d089c52bad4c,100,Liability,Debeka,92.96,quarterly
